Length,Width,Height,E,nu,Load_x_coord,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10
1.00000000e+01,8.00000000e-01,8.00000000e-01,1.55000000e+11,2.60000000e-01,1.25000040e+00,-8.44580637e-11,-1.81909380e-10,-2.84570073e-10,-3.88164180e-10,-4.91777970e-10,-5.95392616e-10,-6.99007351e-10,-8.02622119e-10,-9.06236856e-10,-1.00985165e-09
1.00000000e+01,8.00000000e-01,8.00000000e-01,2.10000000e+11,3.00000000e-01,1.25000040e+00,-8.32767146e-11,-1.78568948e-10,-2.78834264e-10,-3.80133577e-10,-4.81459840e-10,-5.82787795e-10,-6.84115840e-10,-7.85443912e-10,-8.86771951e-10,-9.88100046e-10
1.00000000e+01,8.00000000e-01,8.00000000e-01,7.00000000e+10,3.40000000e-01,1.25000040e+00,-8.14942299e-11,-1.73942067e-10,-2.71110875e-10,-3.69432414e-10,-4.67792214e-10,-5.66155056e-10,-6.64518155e-10,-7.62881306e-10,-8.61244444e-10,-9.59607616e-10
1.00000000e+01,8.00000000e-01,8.00000000e-01,1.80000000e+10,1.80000000e-01,1.25000040e+00,-8.55198085e-11,-1.85816734e-10,-2.91764838e-10,-3.98480556e-10,-5.05207454e-10,-6.11934543e-10,-7.18661709e-10,-8.25388828e-10,-9.32115927e-10,-1.03884312e-09
1.00000000e+01,8.00000000e-01,8.00000000e-01,2.83000000e+10,4.00000000e-01,1.25000040e+00,-7.71186869e-11,-1.63327661e-10,-2.53829636e-10,-3.45726960e-10,-4.37695633e-10,-5.29673088e-10,-6.21651463e-10,-7.13630123e-10,-8.05608762e-10,-8.97587504e-10
1.00000000e+01,8.00000000e-01,1.00000000e+00,1.55000000e+11,2.60000000e-01,1.25000040e+00,-4.97287497e-11,-1.00589328e-10,-1.52559665e-10,-2.05310135e-10,-2.58075345e-10,-3.10840166e-10,-3.63604970e-10,-4.16369766e-10,-4.69134566e-10,-5.21899413e-10
1.00000000e+01,8.00000000e-01,1.00000000e+00,2.10000000e+11,3.00000000e-01,1.25000040e+00,-4.92459750e-11,-9.89974814e-11,-1.49695672e-10,-2.01224114e-10,-2.52771285e-10,-3.04318557e-10,-3.55865901e-10,-4.07413245e-10,-4.58960589e-10,-5.10507969e-10
1.00000000e+01,8.00000000e-01,1.00000000e+00,7.00000000e+10,3.40000000e-01,1.25000040e+00,-4.84514885e-11,-9.67542219e-11,-1.45835875e-10,-1.95805059e-10,-2.45798974e-10,-2.95793948e-10,-3.45789095e-10,-3.95784280e-10,-4.45779442e-10,-4.95774644e-10
1.00000000e+01,8.00000000e-01,1.00000000e+00,1.80000000e+10,1.80000000e-01,1.25000040e+00,-5.00050120e-11,-1.02334800e-10,-1.56090990e-10,-2.10541053e-10,-2.65001105e-10,-3.19460276e-10,-3.73919430e-10,-4.28378558e-10,-4.82837680e-10,-5.37296874e-10
1.00000000e+01,8.00000000e-01,1.00000000e+00,2.83000000e+10,4.00000000e-01,1.25000040e+00,-4.64019925e-11,-9.15858294e-11,-1.37283364e-10,-1.83980211e-10,-2.30718887e-10,-2.77462116e-10,-3.24206132e-10,-3.70950309e-10,-4.17694480e-10,-4.64438710e-10
1.00000000e+01,8.00000000e-01,1.20000000e+00,1.55000000e+11,2.60000000e-01,1.25000040e+00,-3.32542083e-11,-6.32967163e-11,-9.29120403e-11,-1.23224055e-10,-1.53550136e-10,-1.83875340e-10,-2.14200609e-10,-2.44525874e-10,-2.74851128e-10,-3.05176412e-10
